Time,Milliseconds,Index,Freq,Vin,Vout,dB,Phase
2024-09-28 09:22:19.173645,710,0,100,0.2658401,0.2655024,-0.011040808238452734,-1.8
2024-09-28 09:22:19.878999,1415,1,105.0,0.2620289,0.2616143,-0.013754291458183476,1.894737
2024-09-28 09:22:20.583580,2120,2,110.25,0.2663682,0.2660279,-0.011103795262113521,2.0
2024-09-28 09:22:21.288071,2824,3,115.76,0.2663006,0.2653922,-0.029679806927728952,2.093023
2024-09-28 09:22:21.993904,3530,4,121.55,0.2616632,0.2613702,-0.00973156180913364,2.195122
2024-09-28 09:22:22.695235,4231,5,127.63,0.2661289,0.265796,-0.010871959699674489,2.307692
2024-09-28 09:22:23.403951,4940,6,134.01,0.2637306,0.2633541,-0.012408776065504064,2.4
2024-09-28 09:22:24.118509,5655,7,140.71,0.2631346,0.262343,-0.026169547241141282,2.535211
2024-09-28 09:22:24.824023,6360,8,147.75,0.2663583,0.2655856,-0.025234208509225795,2.647059
2024-09-28 09:22:25.525791,7062,9,155.14,0.2618273,0.2608891,-0.031179853584987535,2.8125
2024-09-28 09:22:26.254681,7791,10,162.9,0.2657112,0.2653388,-0.012182001059898896,2.903226
2024-09-28 09:22:26.955618,8492,11,171.05,0.2617496,0.2611707,-0.019231472045090743,3.103448
2024-09-28 09:22:27.658911,9195,12,179.6,0.2658719,0.2655888,-0.00925364975854316,-3.214286
2024-09-28 09:22:28.364209,9900,13,188.58,0.2622998,0.2616598,-0.021219086864699463,3.396226
2024-09-28 09:22:29.068484,10604,14,198.01,0.2661053,0.2649845,-0.03666106770957524,-3.529412
2024-09-28 09:22:29.774342,11310,15,207.91,0.2651166,0.2643584,-0.024876135889502722,1.5
2024-09-28 09:22:30.475824,12012,16,218.31,0.2604053,0.2599645,-0.014715462227995997,1.565217
2024-09-28 09:22:31.184695,12721,17,229.23,0.2633696,0.2631513,-0.007202486422240679,-1.651376
2024-09-28 09:22:31.894132,13430,18,240.69,0.2682141,0.2677839,-0.013942852490762677,1.730769
2024-09-28 09:22:32.625155,14161,19,252.72,0.26375,0.2631457,-0.019923811903321802,1.818182
2024-09-28 09:22:33.329978,14866,20,265.36,0.261738,0.2614419,-0.009831769899550055,1.894737
2024-09-28 09:22:34.054369,15590,21,278.63,0.2672284,0.2667701,-0.014909196181275201,-2.022472
2024-09-28 09:22:34.757921,16294,22,292.56,0.2647992,0.2642144,-0.01920370413706486,2.093023
2024-09-28 09:22:35.484329,17020,23,307.19,0.2625706,0.2617843,-0.02604999072833062,2.195122
2024-09-28 09:22:36.185362,17721,24,322.55,0.2677421,0.2671173,-0.0202929828451593,2.337662
